full_name,sido,sigungu,lat,lon
 춘천시,,춘천시,37.8907502944142,127.73855024742944
 원주시,,원주시,37.30827214389988,127.93010148359669
 강릉시,,강릉시,37.709097576802435,128.83629661662167
 동해시,,동해시,37.507699146772026,129.05750815396124
 태백시,,태백시,37.17355382230187,128.98028444413865
 속초시,,속초시,38.17460699655262,128.5170283057989
 삼척시,,삼척시,37.27940030984353,129.11945855070846
 홍천군,,홍천군,37.745371983968425,128.0718188529946
 횡성군,,횡성군,37.509795687810275,128.07714655993058
 영월군,,영월군,37.20365761082058,128.5007363393495
 평창군,,평창군,37.55952175453339,128.4839378899835
 정선군,,정선군,37.37954498871875,128.73664323149399
 철원군,,철원군,38.23985557501652,127.39553990592204
 화천군,,화천군,38.13775940152845,127.68466235514624
 양구군,,양구군,38.17516332931209,127.99809563638969
 인제군,,인제군,38.065852635216366,128.26556442674826
 고성군,,고성군,38.36166256557177,128.41266832643967
 양양군,,양양군,38.00454775494876,128.5963809162701
수원시 장안구,수원시,장안구,37.313964850488915,127.00322224854733
수원시 권선구,수원시,권선구,37.26162810834032,126.97987706528565
수원시 팔달구,수원시,팔달구,37.27884128987851,127.01638583032246
수원시 영통구,수원시,영통구,37.27422255144783,127.05332283278975
성남시 수정구,성남시,수정구,37.434236154404296,127.1034291981654
성남시 중원구,성남시,중원구,37.43393959749726,127.16307455751021
성남시 분당구,성남시,분당구,37.378173545953516,127.10522691772942
 의정부시,,의정부시,37.73619730554574,127.06701890899981
 안양시만안구,,안양시만안구,37.403885152929206,126.91172927238901
 안양시동안구,,안양시동안구,37.40139490855061,126.95643278057705
 부천시,,부천시,37.50522462023604,126.7904649625358
 광명시,,광명시,37.446200498703995,126.8625286355182
 평택시,,평택시,37.010682365119955,126.98700016798088
 동두천시,,동두천시,37.916712207723684,127.07781784130871
 안산시상록구,,안산시상록구,37.31860875318384,126.87300219812454
 안산시단원구,,안산시단원구,37.52796410994512,127.26693141604696
 고양시덕양구,,고양시덕양구,37.65492277017285,126.88019242261728
 고양시일산동구,,고양시일산동구,37.679026166939494,126.79746135506062
 고양시일산서구,,고양시일산서구,37.68085153316388,126.72620011421677
 과천시,,과천시,37.43231027806656,127.0064804945684
 구리시,,구리시,37.59626868754476,127.13173213408334
 남양주시,,남양주시,37.66376958720197,127.24116459316475
 오산시,,오산시,37.16322521948571,127.05215305867263
 시흥시,,시흥시,37.38900482051256,126.78719963286377
 군포시,,군포시,37.344281230131365,126.92514007145317
 의왕시,,의왕시,37.36203120919595,126.990096388102
 하남시,,하남시,37.52045955405907,127.20393343514903
 용인시처인구,,용인시처인구,37.20679625043835,127.24990044556255
 용인시기흥구,,용인시기흥구,37.26672185641,127.11957782418281
 용인시수지구,,용인시수지구,37.33281914094321,127.0702202325529
 파주시,,파주시,37.85600239962601,126.81255683726994
 이천시,,이천시,37.207061285323654,127.48049856818845
 안성시,,안성시,37.033891874536316,127.30246925162368
 김포시,,김포시,37.680627473672914,126.62642298189238
 화성시,,화성시,37.16482956994478,126.87339687869597
 광주시,,광주시,37.404450030613575,127.30268236367671
 양주시,,양주시,37.81000704061461,127.00323756671858
 포천시,,포천시,37.9736971764198,127.25209888131653
 여주시,,여주시,37.304043544510954,127.61537735285751
 연천군,,연천군,38.09161800631988,127.02434936058863
 가평군,,가평군,37.81788827737884,127.44839094118119
 양평군,,양평군,37.51843906690636,127.57589149638747
창원시 의창구,창원시,의창구,35.31232454784483,128.64967174955456
창원시 성산구,창원시,성산구,35.19871988040746,128.6742461647883
창원시 마산합포구,창원시,마산합포구,35.138355967347366,128.48252440512871
창원시 마산회원구,창원시,마산회원구,35.232852397212305,128.53408754179893
창원시 진해구,창원시,진해구,35.129877701622,128.73989914938824
 진주시,,진주시,35.206544753448114,128.12609271157532
 통영시,,통영시,34.9602477837962,128.4281554826381
 사천시,,사천시,35.05139368642952,128.0402941918309
 김해시,,김해시,35.270946015644085,128.84651605170973
 밀양시,,밀양시,35.49826761272739,128.7873196954975
 거제시,,거제시,34.866266999598786,128.6197335021494
 양산시,,양산시,35.402140910580634,129.04040629012525
 의령군,,의령군,35.39231831535562,128.27709824399133
 함안군,,함안군,35.291331593557686,128.43010811894683
 창녕군,,창녕군,35.50921745576266,128.49292933986155
 고성군,,고성군,35.016863611674,128.29527118964077
 남해군,,남해군,34.796690416299455,127.90734336444626
 하동군,,하동군,35.13826757344309,127.77760029099052
 산청군,,산청군,35.36886845792488,127.88557450494412
 함양군,,함양군,35.55384486864036,127.7226647555179
 거창군,,거창군,35.73283280870575,127.90449110040171
 합천군,,합천군,35.57620863614838,128.14220357461588
포항시 남구,포항시,남구,35.95635142438469,129.4368371414484
포항시 북구,포항시,북구,36.165163399881436,129.23423051709216
 경주시,,경주시,35.82851022928526,129.23476872051808
 김천시,,김천시,36.06416818527858,128.07895260021033
 안동시,,안동시,36.58117835044659,128.78190102442738
 구미시,,구미시,36.207894175066976,128.3585528280437
 영주시,,영주시,36.87112334654928,128.5958617527594
 영천시,,영천시,36.016072766713634,128.94037080539204
 상주시,,상주시,36.429989930753315,128.0662996426512
 문경시,,문경시,36.69114841044764,128.15086675306785
 경산시,,경산시,35.835693488089525,128.80974390764428
 군위군,,군위군,36.17008046203495,128.6477900492677
 의성군,,의성군,36.36143281049499,128.61883529114533
 청송군,,청송군,36.357046010015154,129.057141728659
 영양군,,영양군,36.6949527205354,129.1434174540719
 영덕군,,영덕군,36.48181335867197,129.31792842448868
 청도군,,청도군,35.67324707364347,128.7857934852976
 고령군,,고령군,35.735369942463684,128.30416575625685
